iter	Logloss
0	0.6897164359
1	0.6866210698
2	0.683832203
3	0.6809152873
4	0.6778782132
5	0.6751211139
6	0.6723297849
7	0.6702548174
8	0.6673423107
9	0.6647741305
10	0.6620116101
11	0.6596463316
12	0.6577209642
13	0.6552637949
14	0.6526821098
15	0.650718368
16	0.6485457737
17	0.6466935332
18	0.6444707284
19	0.6426892773
20	0.6406899758
21	0.6390143463
22	0.6368886378
23	0.6354141389
24	0.6338975662
25	0.6319203678
26	0.6304284856
27	0.6288619485
28	0.6271991524
29	0.6257138549
30	0.6246174412
31	0.6230376835
32	0.6218417368
33	0.620620474
34	0.6191970319
35	0.6174922005
36	0.6159522602
37	0.6147839548
38	0.6133648533
39	0.6118172544
40	0.6102602255
41	0.6089816621
42	0.6079867239
43	0.6067837721
44	0.6050334648
45	0.6038221761
46	0.6023702025
47	0.6011172183
48	0.6000599408
49	0.5989925131
50	0.5978706542
51	0.5969114216
52	0.5957506774
53	0.5946139216
54	0.5934220583
55	0.5924411671
56	0.5916814397
57	0.5904808479
58	0.5896148211
59	0.5886984427
60	0.587544284
61	0.5867308393
62	0.5859428867
63	0.5847904536
64	0.5839757189
65	0.5826704379
66	0.5817735836
67	0.5808591709
68	0.5799428403
69	0.5787794968
70	0.577981246
71	0.5771938686
72	0.5765283241
73	0.5759743667
74	0.5753545539
75	0.5746457601
76	0.5739354151
77	0.5731219647
78	0.5723074094
79	0.5713808985
80	0.5706272636
81	0.5699408256
82	0.5691606418
83	0.5685363615
84	0.5680280732
85	0.5672110134
86	0.5667068408
87	0.5659795926
88	0.565318229
89	0.5644228421
90	0.5636484904
91	0.5632219897
92	0.5622926018
93	0.5615990747
94	0.5610307546
95	0.5605386281
96	0.5597682065
97	0.5590428543
98	0.5586001143
99	0.5580246315
100	0.5571848928
101	0.5565800909
102	0.5557268065
103	0.5550492228
104	0.5543415893
105	0.5537746002
106	0.5532035159
107	0.5524120173
108	0.5517481919
109	0.5511044669
110	0.5503837171
111	0.5498401261
112	0.5489181257
113	0.5483611865
114	0.5477958296
115	0.5471138519
116	0.5466592766
117	0.5461815993
118	0.5457061794
119	0.5452612782
120	0.5447719685
121	0.5441923658
122	0.5435943245
123	0.5430357699
124	0.5426495518
125	0.5419611449
126	0.5414453997
127	0.54073399
128	0.5400784543
129	0.5394435457
130	0.539347654
131	0.5389263366
132	0.5384815733
133	0.5380196974
134	0.5374649327
135	0.5367834279
136	0.5364102798
137	0.5360258404
138	0.535525713
139	0.534746171
140	0.5344997975
141	0.5340431233
142	0.5336412896
143	0.5331991314
144	0.5324939087
145	0.5316746966
146	0.5312189815
147	0.5305726367
148	0.5301559667
149	0.5297593392
150	0.5294651616
151	0.5290113962
152	0.5285412531
153	0.5278965236
154	0.5276570218
155	0.5272889213
156	0.5266308951
157	0.526270206
158	0.5260166517
159	0.5257056679
160	0.5252932829
161	0.5243042885
162	0.5236831113
163	0.5233233792
164	0.5229422908
165	0.522440783
166	0.5220045495
167	0.5214212375
168	0.5210340524
169	0.5205401689
170	0.5202694392
171	0.5197375587
172	0.5194410596
173	0.5190653239
174	0.5186292814
175	0.5181596458
176	0.5177022598
177	0.5170440136
